index,推荐人ID,推荐博主名称,博主涉及领域,博主所在平台,跳转链接,推荐理由,推荐时间
43,无名之辈,乐乐老师的网络课堂,,B站,https://space.bilibili.com/410570125/dynamic,,2021-02-01 00:00:00
44,Ch恩,李好帅的黄金屋,,B站,https://space.bilibili.com/16395179?from=search&seid=4896203635739973165,北京大学（法律系？）毕业的up主，对书籍的解说非常引人入胜，会通过讲故事+评论这种非常生动的方式去探讨质量极高的书籍，我很爱,2020.2/2
45,小树先森,SuccessDiary_帅帅,,B站,https://space.bilibili.com/4963278/,有几期关于迷茫，拖延，一些想法和理念挺不错的,2021-02-01 00:00:00
46,意识律者,有山先生,,B站,https://space.bilibili.com/28626598?from=search&seid=17158515706484091823&spm_id_from=333.337.0.0,人外有人，山外有山，有山先生活得十分真性情，触动了我内心的一些东西，而且文章写得也很有意思。小伙子也很真诚（此处附带滑稽表情）,2021-02-02 00:00:00
47,不系之舟,萨姐的南腔北调,,B站,https://m.bilibili.com/space/509709191,家常面包、蛋糕教程,2021-01-17 00:00:00
48,不系之舟,是怼子吖,,B站,https://m.bilibili.com/space/297270292,很多零基础小手工,2021-01-17 00:00:00
49,不系之舟,暖暖的小鱼姐,,B站,https://m.bilibili.com/space/605439614,娃衣制作,2021-01-17 00:00:00
50,不系之舟,麦呆小公举,,B站,https://m.bilibili.com/space/24284811,培养水彩特长，推荐很多良心画材,2021-01-17 00:00:00
51,不系之舟,SHEEP_RABBIT,,B站,https://m.bilibili.com/space/259812938,立体折纸,2021-01-17 00:00:00
52,不系之舟,昂克英文君,,B站,https://m.bilibili.com/space/286263737,学英语干货,2021-01-17 00:00:00
53,不系之舟,爱读书的King,,B站,https://m.bilibili.com/space/294086042,讲了些大学最重要的事，方便避雷和走好路,2021-01-17 00:00:00
54,不系之舟,epcdiy,,B站,https://m.bilibili.com/space/12590,数码/互联网技术,2021-01-17 00:00:00
55,不系之舟,无穷小亮的科普日常,,B站,https://m.bilibili.com/space/14804670,生动有趣滴博物君,2021-01-17 00:00:00
56,不系之舟,Penthesileia,,B站,https://m.bilibili.com/space/514051666,意法泛艺术史纪录片野生字幕君、搬运工,2021-01-17 00:00:00
57,不系之舟,偶然明朗_Fiona,,B站,https://m.bilibili.com/space/20361533,脑科学科普,2021-01-17 00:00:00
58,不系之舟,Soga卡卡酱,,B站,https://m.bilibili.com/space/17507005,30+职场女性的建议,2021-01-17 00:00:00
59,不系之舟,童姥_女孩别怕,,B站,https://m.bilibili.com/space/66605322,关注女性安全、女性观,2021-01-17 00:00:00
60,与风同饮,历史系的沙丁鱼,,B站,https://space.bilibili.com/375069183/video,历史类讲座视频集聚地,2021-01-17 00:00:00
61,阿幸,学院派Academia,,B站,https://b23.tv/4nnWfz,制作用心，认真有料的,2021-01-16 00:00:00
62,阿幸,一数,,B站,https://b23.tv/odFlJs,制作用心，初高中数学讲解,2021-01-16 00:00:00
63,瑶妖,ElenaLin_青青,,B站,https://space.bilibili.com/5128788/,"认真且上进的up,每次都是干货满满",2021-01-18 00:00:00
64,瑶妖,苜蓿老师,,B站,https://space.bilibili.com/23568088/,分享干货的教资通过者,2021-01-18 00:00:00
65,魂帝HD,,,B站,https://space.bilibili.com/19658621/video?tid=0&page=1&keyword=&order=pubdate,前微软大佬，能指引你如何入门编程，如何继续深入学习编程,2021-01-26 00:00:00
66,海茉er,十三兰德,,B站,https://space.bilibili.com/2087065/,目前更新到美丽新世界，推的书籍都是十分有趣的。非常建议一读,2021-01-27 00:00:00
67,lei0513,历史系の沙丁鱼_llz,历史学专业讲座课程,B站,https://space.bilibili.com/375069183/,历史学专业讲座课程,2021-02-06 00:00:00
68,lei0513,文采飘逸的归来,历史学专业讲座,B站,https://space.bilibili.com/486009552/,历史学专业讲座，与上面推荐的up主的同时食用效果更佳,2021-02-06 00:00:00
69,杨絮不吃苦瓜,Coach-Shane,,B站,https://space.bilibili.com/473051410/,Daily English Dictation和E^3系列拯救了我的英语听力和口语表达，老师很有趣，视频做的很棒，跟着学习时间长了非常有效果。,2021-02-07 00:00:00
70,无聊の暮庆,杨真直,自制力，管理，学习，习惯，拿高分，,B站,https://space.bilibili.com/547173382?share_medium=android&share_source=copy_link&bbid=XY8DD3588787835C4D23CFCC59CD7E7F886A4&ts=1612753270426,,2021-02-07 00:00:00
71,木石石石,YJango,人工智能，学习观,B站,https://b23.tv/UfjTnz,力荐，颠覆你对学习的认知。在粉丝的支持下，有关“学习观”的书也正在制作中，超级期待！！！！,2021-02-07 00:00:00
72,Lenod,附议YJango,,,,,
74,假动作丶False,动画讲编程,算法以及计算机语言,B站,https://space.bilibili.com/526619673?from=search&seid=10948106921685776118,用动画讲编程，非常有意思且易理解,2021-02-07 00:00:00
75,斯巴达117士官长,眼见为识,物理学硬核科普up,B站,https://space.bilibili.com/430948380/,视频长而质量极高，硬核科普，如果看不大懂就多看几遍，强烈推荐,2021-02-07 00:00:00
76,斯巴达117士官长,赵峥讲物理,北师大物理教授,B站,https://space.bilibili.com/670860565/,北师大物理教授,2021-02-07 00:00:00
77,斯巴达117士官长,我是江无情,硬核辟谣,B站,https://space.bilibili.com/486633990/video,可以帮助各位揭开神秘谣言的真相,2021-02-07 00:00:00
78,飒飒飒,万物捡史,很多领域和冷知识,B站,https://space.bilibili.com/328531988/video,魔性的动画和略微搞笑的陪音 让人看完一集还想看下一集,2021-02-07 00:00:00
79,飒飒飒,看懂村,心理类,B站,https://space.bilibili.com/37254033?from=search&seid=17278423282161378541,更加魔性的动画和陪音 让一知半解的知识变得有趣,2021-02-07 00:00:00
80,四月是谁的谎言M,张叶蕾Leafy,,B站,https://space.bilibili.com/111230371/?share_source=copy_link&share_medium=iphone&bbid=Z640416BE77D6CD24914A791ED03F8CED5CC&ts=1612783638,,2021-02-07 00:00:00
81,四月是谁的谎言M,Jason—老湿,,B站,https://space.bilibili.com/540564177/?share_source=copy_link&share_medium=iphone&bbid=Z640416BE77D6CD24914A791ED03F8CED5CC&ts=1612783889,,2021-02-07 00:00:00
82,妖怪测谎仪,yuka老师,日语,B站,https://space.bilibili.com/485503730,,2021-02-07 00:00:00
83,中医雨霁,中科院格致论道讲坛,各种尖端科学论道,B站,http://space.bilibili.com/447261734/,中科院格致论道讲坛由中国科学院全力推出的科学文化讲坛，由中国科学院计算机网络信息中心和中国科学院科学传播局联合主办。致力于非凡思想的跨界传播，旨在以“格物致知”的精神探讨科技、教育、生活、未来的发展。,2021-02-07 00:00:00
