index,推荐人ID,推荐书籍名称,书籍作者,推荐语,推荐日期
142,杨絮不吃苦瓜,《如何阅读一本书》,[美]莫提默·J·艾德勒 查尔斯·范多伦,阅读应该是主动的行为，而以增进理解力为目的的阅读不应该只用一种方式或一种速度阅读。作者介绍阅读的四个层次同时给出了增进理解力的有效方法。读书是必须做的，这本书能让你做的更好。,
143,杨絮不吃苦瓜,《给青年的十二封信》,朱光潜,在十多岁的年纪避不开迷茫，这本书算是作为前辈的一点指导，没有说教的感觉，篇幅不长，但是很值得读。,
144,小哲,《刑法学讲义》,罗翔,可以对于刑法有一个初步的认识，罗翔在视频中讲的内容，本书也大部分有所涉及。,
145,无聊の暮庆,《被讨厌的勇气》,古贺史健,心理学，哲学，思考人生有很大帮助和影响(ФωФ),
146,匿,《吾国教育病理》,郑也夫,中国教育的问题、出路和他国可借鉴的经验（B站大学有同名课程，非社会学专业慎读此专著）,
147,Lenod,《理想国》（《Πολιτεία》）,【古典希腊】柏拉图（Plato，Πλατών）,以下OS（竟然还没人写，这可是罗老师都强推的顶级经典。任何对人生、世界有思考者的必读书目）,
148,Lenod,《为孩子重塑教育——更有可能成功的路》(《Most Likely to Succeed》,【美】托尼·瓦格纳（Tony Wagner）、泰德·丁特史密斯（Ted Dintersmith）,教育的核心、重任、未来,
149,好好休息,《论法的精神》（De l'esprit des lois）,【法】孟德斯鸠（Montesquieu）,继约翰洛克后日臻完善的“分权”理论，直接影响美联邦制度建立。,
150,无敌丁丁呢,《裸体艺术论》,陈醉,描绘人自身是人类艺术永恒不变的主题之一,
151,无敌丁丁呢,《当代人体艺术》,陈醉,,
152,假动作丶False,《浪潮之巅》,吴军,几个定律加公司兴衰，读出了三体的感觉，很爽。它阐述了我们如今这个时代是如何铸就的。如果要了解互联网，这本是必读之书。,
153,肥肥红,《启蒙辩证法 哲学断片》,霍克海默,传播政治经济学经典读物，其中的理论影响至今，能够洞察大众社会的矛盾,
154,肥肥红,《词与物》,福柯,媒介谱系，知识考古学，媒介哲学,
155,安德与千,《艺术的故事》,【英】E. T贡布里希,这既是艺术史，也是以艺术为轴的西方宗教与历史的发展史。,
156,安德与千,《伯里曼人体结构绘画教学》,【美】乔治. 伯里曼,人体结构方面的集大成者，画家的新华字典。,
157,茶狮,《高手：精英的见识和我们的时代》,万维钢,该书涵盖了《巨人的工具》等书籍的总结和一部分作者自己的方法论，是探索新的方法方式不错的一本书籍,
158,Iamlibilibi,《君主论》,马基雅维利,五百年前马基雅维利献给统治者的一本小册子，他将政治从道德中剥离开来，探讨君主如何稳固其统治，而五百年前的戏码，如今还在上演,
159,Ulak,《魔鬼经济学》,【美】史蒂芬.列维特、史蒂芬.都伯纳,“透过现象看本质”如果伦理道德是理想世界，那么经济学就是现实世界。,
160,木子云,《教育漫话》,洛克,看到还没有教育类，洛克的这本教育漫话，是在其教育经验的基础上，与朋友信件来往中整理而出，没有晦涩难懂，有很多也很值得当代借鉴。,
161,她曾说天要蓝,《反脆弱》,纳西姆•尼古拉斯•塔勒布,,
162,她曾说天要蓝,《非对称风险》,纳西姆▪尼古拉斯▪塔勒布,,
163,她曾说天要蓝,《认知天性》,彼得•布朗/亨利•勒迪格三世,,
164,她曾说天要蓝,《梦的解析》,弗洛伊德,,
165,她曾说天要蓝,《原则》,瑞·达利欧,,
166,她曾说天要蓝,《如何阅读一本书》,莫提默·J. 艾德勒,,
167,千年老曹,《学会提问》,【美】尼尔·布朗,锻炼辩证思维的法宝,
168,千年老曹,《亲密关系》,罗兰·米勒,用实证的方法教你如何看待和构建亲密关系,
169,千年老曹,《社会心理学》,【美】戴维·迈尔斯,探究如何认识自己，如何看待自己与社会的关系，于实证中揭示人的本质。,
170,飒飒飒,《我的晃荡青春》,东野奎吾,在人的一生中总会有很多“晃荡”无所事事迷茫的时期，在这些时候不妨可以来读一读这本书，可以在其中得到一些无意义却让人感觉到有一丝放松的东西。,
171,飒飒飒,《岛上书店》,加布瑞埃拉·泽文,总有那么一些时间 会让人感受到煎熬，像独处时侯的孤苦无依，情侣分开时候的痛心，或者是无人排解的忧愁。在遇到这些时，我很推荐你去随手翻一翻这本书，说不定就能够得到排解了呢？哈。,
172,春星祈愿,《基础有机化学》,刑其毅,化学类考研公认教材，自己看来之后确实觉得很好,
173,hyl7171,《存在主义心理治疗》,欧文·亚隆,帮我走出迷茫，解答了部分人生焦虑，然后从关心周围小事开始，逐渐重拾信心,
174,干饭王,《毛泽东选集》（1-5）,毛泽东,学习毛主席的斗争思想，提高自己的思想境界，做好社会主义的建设者,
175,sk8和尚,《泰戈尔诗集》（飞鸟和新月）,泰戈尔,感受了爱情与童真,
176,中医雨霁,《黄帝内经》,众多秦汉医家,内经是中医学的一个源头，一句话的展开就可能诞生一个伟大的医学流派。每一名中医人的必读著作,
177,中医雨霁,《伤寒杂病论》,张仲景,仲景在书中建立了一套精美的辨证体系，使后世学医者可以纲举目张。它不仅是一本方剂学专著，更是中医理论框架的重要组成部分。,
178,邻居家的龙骑,《百年孤独》,加西亚•马尔克斯,一个家族百年兴衰的故事，意味尤深,
179,panda,牧羊少年奇幻之旅,Paulo Coelho,讨论关于寻求自我价值的旅程,
180,邻居家的龙骑,《论人类不平等的起源》,让•亚克•卢梭,卢梭对人类社会如何发展至今的思考，以及对人类命运走向的猜想,
181,饭前便后嘤,《基础有机化学》,邢其毅,看到上面有两个已经写了好亲切啊哈哈哈我也要推荐，都看看吧看看吧！！,
182,邻居家的龙骑,《苏菲的世界》,乔斯坦•贾德,哲学启蒙和入门的老师,
183,邻居家的龙骑,《我讨厌的10种好人》,中岛义道,该书摆脱了社会对人的刻板印象，着重表达每个人的个性，值得学习,
184,邻居家的龙骑,《动物农场》,乔治•奥威尔,动物们反抗人类的剥削压迫，建立一个平等社会的故事,
