index,推荐人ID,推荐课程名称,老师（博主）名称,4.推荐课程对应领域,课程所在平台,跳转链接,推荐理由,推荐日期
223,圣殿滑稽之神,冥想课,李冉,冥想,b站,【【专业冥想课-上】理论+练习+示范，全面系统学习冥想｜收藏级。with李冉。这里有多角度解读，多流派技术，帮你找到适合自己的技能包。练之前看一下简介里的说明。-哔哩哔哩】 https://b23.tv/lVwwWeO,全网独一份；我试过，实用！,2022-02-14 21:35:28
224,xuyang,ae,老鹰,视频后期,无,,,2022-02-15 12:02:35
225,威博不是APP,配音,修岚,配音,B站,https://b23.tv/f2dJoh6,,2022-02-18 20:35:51
226,妤妗,电子商务,无,计算机,无,,,2022-02-19 03:15:03
227,石哗哗,如何系统学英语,昂克英文君,英语,B站,https://space.bilibili.com/286263737/channel/collectiondetail?sid=38585,解决全阶段英语迷茫者问题！喂饭up!应试和素养培养都有用！能区别与应试教育下的英语学习模式,2022-03-02 19:04:12
228,刘半三,杜银玲老师：中国标准通用手语零基础学习,一颗沙雕软糖,手语,B站,https://www.bilibili.com/video/BV1bb411k771,简单了解手语知识,2022-03-20 10:50:16
229,一条咸鱼的狗,《树莓派教程》,树小悉,电子科技,B站,https://b23.tv/aFZPob2,b站为数不多的入门树莓派的系列好教程,2022-04-16 23:46:12
230,希夷,数学,罗翔,数学,无,兴趣，提升,,2022-05-20 19:11:27
231,捕月rabbit,blender建模,只剩一瓶辣椒酱,建模,b站,制作很用心的视频教程，还是免费的，我直接哭死,https://www.bilibili.com/video/BV1zh411Y7LX?p=1,2022-05-20 20:24:20
232,舟舟,零基础到职业编剧,查理老师的编剧课,编剧,b站,作者曹小林是《爱情公寓》的核心主创、开心麻花资深编剧。他在疫情期间录制的59集实战派编剧教学，风格幽默，内容干货，且上手性强，很适合0基础入门,https://www.bilibili.com/video/BV1eE411F73t?share_source=copy_web,2022-05-30 16:28:22
233,﹌夢銣呲鯖醒,AIOT人工智能+物联网工程师【马士兵教育VIP课堂】,马士兵教育,人工智能专业,腾讯课堂,,https://m.ke.qq.com/course/3488801?_bid=167&_wv=2147487745&term_id=103628463&taid=11587572659993633&from=share#from=androidapp,2022-06-02 22:14:24
234,﹌夢銣呲鯖醒,AI人工智能工程师2022版,马士兵教育,人工智能专业,马士兵官网,,https://www.mashibing.com/subject/20,2022-06-02 22:15:08
235,心电图85,文学理论课程全集,西竹书院杨宁老师,文学,B站,,,2022-06-26 13:15:57
236,心电图85,文学理论课程全集,西竹书院杨宁老师,文学,广州大学慕课平台,,对人生的感悟，,2022-06-26 13:15:57
237,mll,《生死学》,石若坤,法学,b站,https://docs.qq.com/sheet/DRU5MWHZCTHFGQnhM,,2022-07-27 13:19:52
238,琰,无,罗翔,法学,b站,,,2022-07-27 23:37:26
239,汤一清,数学,一数,数学,b站,https://www.bilibili.com/video/BV1tE411q7VE?p=27&share_source=copy_web&vd_source=737f25e6a6f2df1348e631ce2b581ab5,高中生物基础较差 以及复读或者初升高有预习j想法的同学可以前去看一看,2022-07-28 14:40:44
240,乳清蛋白~,高中生物必修一（人教版）视频合集,锦城大同教育,高中生物必修1,b站,https://space.bilibili.com/384234870,疯癫和逗比的风格,2022-07-29 16:48:26
241,哼文,英语,八哥smile,考研/四六级,b站,【SolidWorks2020从入门到中级】视频教程 ①基础与建模_韩乘镇（已完结）_哔哩哔哩_bilibili,对成图感兴趣的可以添加交流群，里面有很多大佬，一定要多多发问，QQ：148475781,2022-07-31 09:51:53
242,阿臣,FREE高考英语零基础入门训练,free高考英语,英语,b站,https://b23.tv/qYg4ybc,这是我见过最好的零基础课程,2022-09-17 21:30:42
243,H,高中英语,free高考英语,高中英语,哔站,,非常系统全面的高中英语课程，且在不断变得更好,2022-10-21 21:44:57
244,游戏建模教学,3dmax人物建模教程,小柳,3D游戏建模,B站,https://www.bilibili.com/video/BV1y34y1R7sj?p=1&vd_source=1773af139e9e9ab11b60043279ddcca3,b站很详细很干货的人物建模视频,
245,十,3dmax教程,free,3dmax游戏建模,B站,https://space.bilibili.com/1789155160/video,可以每天花个十分钟学习一下干货技巧，宝藏小姐姐UP主,
246,www,我要刷初二考试卷,无,无须作答,无,,,
247,纵情山河万里,高中语文,学过石油的语文老师,语文,B站,https://space.bilibili.com/39737405?spm_id_from=333.337.0.0,以前我的语文就处在及格线水平，一直以来我都感觉语文是门玄学，直到接触了杨佳奇老师我才明白语文到底该怎么学，你也不用担心枯燥无味，上他的课你都会笑到停不下来的！最后高考语文考了120，相信我宝子们，一定要看！,
248,巧克力安,英语学习,英语的平行世界,英语,哔哩哔哩,,他的视频质量很高。初学者最好从头开始看，如果跳着看，很可能会听不懂。另外，如果从头开始看，也有不懂的地方，建议二刷或者多刷几遍，你会懂的。加油！,
249,封不觉,高中生物,李林生物,高中生物,B站,https://space.bilibili.com/229823308?spm_id_from=333.337.0.0,高中生物讲的通透有趣,
250,甜茶,数学-高中数学 初中数学 高等数学,会放羊的教书匠,初高中数学高等数学,B站,b站搜会放羊的教书匠,真的很棒 讲的很细 0基础数学的可以直接看初中数学,
251,彼岸的屠龙少女,听懂就能杀疯的作文语言课,中文系五匪子,高中语文,B站,,"培养思辨能力
锻炼文笔
提高语文成绩
主要还是要多记多练，形成自己的逻辑",
252,666,666,666,无须作答,6,,,
253,2926633188,超级人脉术,诸葛思远,快速找到你想找的任何人,无,,,
254,526804796,3D建模,CG可乐网/丿第七骑士丶,数字媒体技术,B站,"https://space.bilibili.com/46525767/?spm_id_from=333.999.0.0
和 https://space.bilibili.com/213948942/?spm_id_from=333.999.0.0",学习如何布线去CG可乐网，学习进阶去第七骑士,
255,123,建筑设计,李磊,建筑学水,无,,,
