index,推荐人ID,推荐课程名称,老师（博主）名称,4.推荐课程对应领域,课程所在平台,跳转链接,推荐理由,推荐日期
108,钟声,CAD施工制图深化设计制图规范,CAD室内设计仁厚,建筑室内设计，建筑设计，CAD学习,B站,【CAD施工图深化设计（全集48讲）-哔哩哔哩】 https://b23.tv/kF3PqDi,,2021-12-18 10:44:21
109,是小赞的粉丝啊,东西方文化溯源与东西方哲学,王东岳,哲学,无,,丰富知识，重建思考,2021-12-18 10:55:59
110,长弓,核辐射,无,无,无,无,,2021-12-18 11:38:05
111,jajijol,K线图教程,恐龙饲养员（又称班班）,财经股市,B站,https://space.bilibili.com/13449656/channel/detail?cid=113425&ctype=0,简单明了的K线图教程。很实用。,2021-12-18 13:44:17
112,哈哈,行吗,谢谢,大学,8,,,2021-12-18 15:23:03
113,人世间rsj,日语学习：新标日课程0到N1,教日语的阿飞老师,日语入门,B站,BV1Bp4y1D747,讲解详细，适合日语入门学习,2021-12-18 16:29:50
114,努li加餐饭,《建筑设计/室内设计》,王受之,《建筑设计/室内设计》,B站,https://space.bilibili.com/5679766?from=search&seid=2307643628004939310&spm_id_from=333.337.0.0,上海科技大学创意与艺术学院副院长（当代很多大牌设计师是的老师）,2021-12-18 17:22:16
115,一只特立独行的猫喵喵,妇产科知识,六层楼先生,妇产科知识，女性健康,B站,直接在B站搜索就行,学到不少女性健康知识，希望更多的小姐妹看到，也希望男孩子可以多看看，保护好自己的女朋友。,2021-12-18 18:52:22
116,大大大园b,法考视频课,钟秀勇,法学,瑞达法考app,,针对法考的全程免费课程！,2021-12-18 19:42:01
117,14w个粉丝,虚幻引擎课程UE4,文峥老师,媒体艺术,B站,https://space.bilibili.com/476595099/?spm_id_from=333.999.0.0,美国罗切斯特理工（RIT）计算机图像设计专业毕业，厦大嘉庚数媒教研室主任兼VR实验室主任，副教授，IdN中国公司负责人。,2021-12-18 21:16:35
118,迷失幽魂,中小学(高中以下)所有课程包括音乐、美术、通用技术等基础课程,很多国家教育部精选,基础,国家中小学网络云平台,https://tongbu.eduyun.cn/tbkt/tbkthtml/1.html?xdcode=xd0001&njcode=njs001&xkcode=yuwen0,"或许有人觉得多余，但这些知识是大学乃至人生后续学习的基础，如果这个阶段由于一些原因没好好学，想学的听不懂，可以从这里重新开始。当然这个课程对于成年人来说有些内容的确多余，但不要报有高傲不屑，我们每个人都是从这个阶段过来的，而且我们一些人在这个阶段的确某些方面停滞了，而且这种停滞影响到了后续发展，需要补，我是这样但这样的人肯定不止我一个。
返回去有很大的好处，你之前困惑无法理解的东西，在你回去在经历时你很容易就理解了，甚至有了新的感悟，甚至找到人生的方向，属于你自己的道路。",2021-12-18 21:54:16
119,8357251,零基础自学音乐学乐理,三分钟音乐社,音乐,B站,https://www.bilibili.com/video/BV12W411f7YF,是我看过的最好的最详细的乐理教学视频，老师举例得当，通俗易懂。,2021-12-18 22:19:36
120,天机阵皇昊,高中数学基础与解法全集（涵盖所有）|长期更新|从零开始拯救所有学渣！通俗易懂|竞赛国一保送生主讲|数学有救了|干货满满|,一数,高中数学,B站,https://www.bilibili.com/video/BV147411K7xu?from=search&seid=8045298360767945408&spm_id_from=333.337.0.0,专注公益教育的数学老师，十分可敬，建议也看看他一数公益下其他课程,2021-12-18 22:38:47
121,ly6170,史上最良心的电吉他教程【理论】,GC伊格尼斯,电吉他,B站,https://space.bilibili.com/68048227/channel/detail?cid=96076,理论讲的很清楚，最良心不足为过，就是偶尔会开个车,2021-12-18 22:53:54
122,巴骑士,陈鄂生量子力学习题,一无是处自老师,物理学,B站,https://www.bilibili.com/video/BV1JV411b7nZ?spm_id_from=333.999.0.0,只要考研考量子力学就是必刷的一本书，这个up几乎把这本书的所有题都作详细的讲解，适合看不太懂答案或者懒得看答案的同学刷题时观看。,2021-12-18 23:31:34
123,雄关再越,10分钟快速入门：计算机科学,Carrie Anne,计算机科学,B站,https://www.bilibili.com/video/BV1jE411871a?from=search&seid=3989420302739089397&spm_id_from=333.337.0.0,对计算机科学一个宏观的认识,2021-12-19 00:19:55
124,https://wxaurl.cn/VyVjcQncf3e,刑法学,罗翔,视频,无,,,2021-12-19 09:51:12
