index,推荐博主名称,博主涉及领域,平台及链接,推荐人ID,推荐理由,推荐时间
15,历史系的沙丁鱼, ,[B站](https://space.bilibili.com/375069183/video),与风同饮,历史类讲座视频集聚地,2021-01-17 00:00:00
16,历史调研室, ,[B站](https://space.bilibili.com/519872016),暂无名称, ,2021-02-08 00:00:00
17,学院派Academia, ,B站,阿幸,制作用心，认真有料的,2021-01-16 00:00:00
18,底层原理, ,[B站](https://space.bilibili.com/26606146),乾先生,专门研究大脑原理的up主，纯学术类表达,2021-01-21 00:00:00
19,张叶蕾Leafy, ,[B站](https://space.bilibili.com/111230371),四月是谁的谎言M, ,2021-02-07 00:00:00
20,拉片实验室, ,[B站](https://space.bilibili.com/18248648/video),蓝白型冷笑话bot,干货满满，谁看谁知道,2021-02-08 00:00:00
21,无穷小亮的科普日常, ,[B站](https://m.bilibili.com/space/14804670),不系之舟,生动有趣滴博物君,2021-01-17 00:00:00
22,昂克英文君, ,[B站](https://m.bilibili.com/space/286263737),不系之舟,学英语干货,2021-01-17 00:00:00
23,是怼子吖, ,[B站](https://m.bilibili.com/space/297270292),不系之舟,很多零基础小手工,2021-01-17 00:00:00
24,暖暖的小鱼姐, ,[B站](https://m.bilibili.com/space/605439614),不系之舟,娃衣制作,2021-01-17 00:00:00
25,有山先生, ,[B站](https://space.bilibili.com/28626598),意识律者,人外有人，山外有山，有山先生活得十分真性情，触动了我内心的一些东西，而且文章写得也很有意思。小伙子也很真诚（此处附带滑稽表情）,2021-02-02 00:00:00
26,李好帅的黄金屋, ,[B站](https://space.bilibili.com/16395179),Ch恩,北京大学（法律系？）毕业的up主，对书籍的解说非常引人入胜，会通过讲故事+评论这种非常生动的方式去探讨质量极高的书籍，我很爱,2020.2/2
27,汤质看本质, ,[B站](https://www.bilibili.com/video/BV1f4411x7E9),yesi,告诉你各类抽象的理论到底在现实里有什么用,2021-01-16 00:00:00
28,波普尔2020, ,B站,划水小能手,批判吸收，偶尔看点别的思路,2021-01-21 00:00:00
29,爱读书的King, ,[B站](https://m.bilibili.com/space/294086042),不系之舟,讲了些大学最重要的事，方便避雷和走好路,2021-01-17 00:00:00
30,稚晖君, ,B站,Thello,总而言之实在是太厉害了，自称野生钢铁侠，独立开发迷你电子产品,2021-02-07 00:00:00
31,童姥_女孩别怕, ,[B站](https://m.bilibili.com/space/66605322),不系之舟,关注女性安全、女性观,2021-01-17 00:00:00
32,老爸评测, ,其他,Ocean,少交智商税,2021-02-07 00:00:00
33,苜蓿老师, ,[B站](https://space.bilibili.com/23568088),瑶妖,分享干货的教资通过者,2021-01-18 00:00:00
34,萨姐的南腔北调, ,[B站](https://m.bilibili.com/space/509709191),不系之舟,家常面包、蛋糕教程,2021-01-17 00:00:00
35,西西相, ,[B站](https://space.bilibili.com/180904367),AlbertTony周,很多一流大学课程，很完整,2021-01-26 00:00:00
36,附议YJango, ,其他,Lenod, , 
