index,推荐课程名称,授课老师,课程对应专业,平台及链接,推荐人ID,推荐人专业,推荐语,推荐日期
646,《编剧教程》,b站up查理老师的编剧课,编剧,B站,东方月圆,编剧,适合零基础 深入浅出,2021-01-18 00:00:00
647,《你正需要的写作课》,IceFiction,编剧/文学系,[B站](https://space.bilibili.com/674570492),多啦噩梦S,戏剧影视文学,剧本写作时的一些知识点总结，简短、总结性极强、对无论是在校学习的学生还是已经入行的专业编剧都适合看一看,2021-02-09 00:00:00
648,《B站首个从零开始的完整的编曲教程》,莫逆iMoNe,编曲,[B站](https://www.bilibili.com/video/BV1Hx411S7zm),smastars,音乐学,简单易懂 非常细节 喜欢车轱辘辗脸 qwq,2021-02-08 00:00:00
649,《C语言》,c3程序员,编程,[B站](https://www.bilibili.com/video/BV18W411R7zk),无不达,计算机,非常适合纯零基础的C语言的初学者入门，老师讲的很好。有一定基础的不太适合。点进空间还有C++的课程,2021-12-19 19:42:45
650,《c/c++等编程语言》,b站up黑马程序员,编程,B站,霁夜呐,软工,内容适合零基础,2021-01-18 00:00:00
651,《编程》,黑马程序员,编程,[B站](https://space.bilibili.com/37974444),全网通缉在逃ing,汉语言文学,, 
652,《网络安全工程师》,千峰教育,网络安全,[B站](https://www.bilibili.com/video/BV1i7411G7vm),jn,网络安全,基础详细，老师挺有趣的，很好的网络安全入门视频，,2021-02-08 00:00:00
653,《数据结构》,陈越 、何钦铭,网络空间安全,中国大学MOOC,共勉,网络空间安全,浙江大学教授，个人感觉讲的很好的,2021-12-18 17:34:52
654,《计算机组成原理》,刘宏伟 、张丽杰 、舒燕君 、张展 、潘道华,网络空间安全,中国大学MOOC,共勉,网络空间安全,哈工大出版，讲解详细，分上下两个课程,2021-12-18 17:37:48
655,《面向对象程序设计---Java语言》,翁恺,网络空间安全,中国大学MOOC,共勉,网络空间安全,个人觉得讲解的挺详细和易懂的,2021-12-18 18:24:31
656,《刑法学》,罗翔,罗翔,B站,老李,罗翔,,2021-12-19 16:16:55
657,《名画百幅赏析》,杨琪,美术,[中国大学MOOC](https://www.icourse163.org/course/HEPSVE-361006?tid=1450366513),Snowlen,光电信息,老师十分擅长引导思考，构建自己的审美认知，适合这方面审美的入门,2021-01-31 00:00:00
658,《素描基础》,叶南,美术/素描造型基础,B站,Cea,美术,,2021-12-18 17:03:08
659,《西方美术欣赏》,孙乃树,美术学,[B站](https://space.bilibili.com/1348664019),颐真小仙女,艺术学,老师讲课很有个人魅力,2021-12-05 00:00:00
660,《光影色彩理论》,jerry mickery,美术类,B站,九鳞,动画专业,我们学美术的虽然不需要像科学家一样了解最底层的光学原理，但是一些基础的光学理论我认为还是要有的，对色彩提升很大。,2021-12-19 10:48:38
