index,推荐课程名称,授课老师,课程对应专业,平台及链接,推荐人ID,推荐人专业,推荐语,推荐日期
0,《C++》,, ,[B站](https://www.bilibili.com/video/BV1et411b73Z),-XXAY-,生信,粗细程度比较合适,2021-01-16 00:00:00
1,《python》,大西瓜老师, ,[B站](https://www.bilibili.com/video/BV1ex411x7Em),-XXAY-,生信,可以说对新手是十分友好了 不能再友好了 十分适合入门,2021-01-16 00:00:00
2,《微观经济学》,KHAN, ,[网易公开课](http://open.163.com/newview/movie/free?pid=M8LHSGLJP&mid=M8LI5BDCP),L回L,国际经济与贸易,一边学专业知识还可以一边学英语。,2021-01-16 00:00:00
3,《概率论与统计学》,洪永淼, ,[其他](https://probability.xmu.edu.cn/),阿强爱吹风,金融,对进一步学习（高级）计量经济学很有帮助。,2021-01-22 00:00:00
4,《流体力学》,赵汉中教授, ,无,青山不老asdf, ,,2021-08-23 00:00:00
5,《耶鲁大学人性的哲学与科学》,B站up农夫cc, ,无,青山不老asdf, ,,2021-08-23 00:00:00
6,《1》,1,1,无,lucheese,1,,2021-12-24 17:47:57
7,《PCB》,凡亿教育,AD2020 PCB画图,[B站](https://space.bilibili.com/11979252),嘟嘟噜1999,电子信息工程,老师讲的纯小白可以学，老师用的是AD2020，入门AD十分好,2021-02-08 00:00:00
8,《C++primer精讲（每周六更新）》,狗道诗人,C++,[B站](https://www.bilibili.com/video/BV1wV411U7Fe),Doubllllllz,软件工程,扔掉c++ primer（拿去当枕头）看这个吧,2021-02-08 00:00:00
9,《c++教程从0到1入门…》,,C++,[B站](https://www.bilibili.com/video/BV1et411b73Z),eth.er░,自动化,对新手友好，用画图来解释得清楚，有适量的举例来辅助理解,2021-01-15 00:00:00
10,《C语言基础》,c3程序猿,C语言,[B站](https://space.bilibili.com/19935498),求求大家不要再夸我了,计算机科学与技术,老师讲的非常细致，对于一些常见的题也都有讲，基本上和老师讲的内容与题目接轨，看完会对c语言有很深刻的理解,2021-02-08 00:00:00
11,《C语言教程》,鹏哥,C语言,[B站](https://www.bilibili.com/video/BV1oi4y1g7CF),KnightWJD,计算机网络技术,讲的非常的细致，并且通俗易懂，（一个人学习C语言除了问题没能能教你怎么解决是很痛苦的）,2021-01-16 00:00:00
12,《C语言程序设计精髓》,苏小红,C语言,[网易公开课](https://open.163.com/newview/movie/free?pid=MEEF19UTM&mid=MEEF36JHK#share-mob),吃货阿振,计算机科学与技术,非常的详细，对于许多大一没有基础的学生十分的友好，中间穿插一些实例，不过稍微有点读ppt的感觉，但讲的十分系统详细，这也是我推荐它的理由，然后如果你想十分快速而系统地学完c语言。,2021-01-20 00:00:00
13,《c语言教程》,b站比特鹏哥,C语言,[B站](https://www.bilibili.com/video/BV1oi4y1g7CF),北叶粑粑,软件工程,讲的很细，容易理解,2021-02-08 00:00:00
14,《郝斌C语言自学教程》,郝斌,C语言,[无](https://www.bilibili.com/video/BV1os411h77o),途中奶酪,自动化,这位老师能让当时还在上初二的我，听明白，并且理解计算机的运行原理，写下程序案例。,2021-12-22 11:51:49
15,《零基础学C语言》,马钊,C语言,[中国大学MOOC](https://www.icourse163.org/course/CUG-1001632003),贾黎顿,自动化,零基础C语言启蒙，老师语速不快，讲得通俗易懂，生动形象，详细全面难度过渡地自然流畅，不会出现突然听不懂的情况。,2021-01-16 00:00:00
16,《Visual Studio2019入门教程》,Frank,C语言IDE,[B站](https://www.bilibili.com/video/BV1Xt411g7jT),魂帝HD,汽车服务工程,前微软大佬，讲解通俗易懂，很快就能学会Visual Stdio2019的使用,2021-01-26 00:00:00
17,《基于VS2019的C语言教程》,Frank,C语言入门,[B站](https://www.bilibili.com/video/BV1qE411d7Zx),魂帝HD,汽车服务工程,前微软大佬，讲解通俗易懂，经常举一些生活中的例子,2021-01-26 00:00:00
18,《地理信息系统（GIS）实验》,汤国安,GIS、城乡规划,[中国大学MOOC](http://163.lu/DmPa52),西窗残荷,城乡规划,GIS基础操作,2021-02-08 00:00:00
19,《Hadoop》,黑马程序员,Hadoop,[B站](http://stu.ityxb.com),cola,数据科学与大数据技术,各类课都有跟着学就能会,2021-02-08 00:00:00
20,《JAVA全栈开发》,遇见狂神说,JAVA全栈工程师,[B站](https://www.bilibili.com/read/cv5702420),蓝盖蓝瓶的盖,软件技术,适合零基础小白，快速入门，并且进阶！且有其团队设计的学习网站https://www.kuangstudy.com/，完全免费！相当于免费加入一个培训班！,2021-02-08 00:00:00
21,《Java_Java零基础进阶必备视频教程（适合Java基础，Java入门》,老杜,JAVA编程,[B站](https://www.bilibili.com/video/BV1mE411x7Wt),smastars,软件工程,喜欢车轱辘辗脸 有趣且细节 推荐qwq,2021-02-08 00:00:00
22,《Java零基础教程视频（适合Java 0基础，Java初学入门）》,老杜,JAVA编程,[B站](https://www.bilibili.com/video/BV1Rx411876f),smastars,软件工程,喜欢车轱辘辗脸 有趣且细节 推荐qwq,2021-02-08 00:00:00
23,《Java零基础-从入门到精通》,郑中拓,Java,[B站](https://www.bilibili.com/video/BV1fh411y7R8),Akko,计算机网络技术,老韩YYDS, 
24,《郝斌Java入门》,郝斌,Java,[无](https://www.bilibili.com/video/BV1ps411F7Sn),途中奶酪,自动化,基础不牢地动山摇,2021-12-22 12:01:03
25,《2021全新 JavaScript / JS 零基础权威入学宝典【渡一教育】》,姬成,JavaScript,B站,MOLIY,2021全新 JavaScript / JS 零基础权威入学宝典【渡一教育】,可以说是我在学习前端技术，遇到的最好的一位老师，成哥，有趣生动，且非常容易理解，还有成哥的HTML的课程也很推荐哦。,2021-02-23 00:00:00
26,《PR》,管家课堂崔老师,PR,[B站](https://www.bilibili.com/video/BV1ut411S7j7),化肥,英语,,2021-02-07 00:00:00
27,B站《Python》教程,杨淑娟,Python,B站,冥溟瞑,法学,0基础学Python的好课程,2021-12-18 16:42:01
28,《Python从入门到入土》,Python_子木,Python编程,[B站](https://www.bilibili.com/video/BV1wD4y1o7AS),smastars,软件工程,简单易懂 且有趣 生动形象 qwq,2021-02-08 00:00:00
29,《老男孩Python全栈开发29期全套》,程序员_Egon_爱根老师,Python软件设计,[B站](https://www.bilibili.com/video/BV1QE41147hU),胡思乱想的咸鱼,软件工程,老师讲解系统深入，目前来说是找到的最系统的python课了，同时没有了学院派的束缚，听起来有趣，我已经看到了600多课,2021-02-08 00:00:00
30,《QT入门》,,QT/C++程序设计,[B站](https://www.bilibili.com/video/BV1g4411H78N),丽日枫凪,软件工程,讲的很清楚，而且是对着帮助文档教的，想必大家初次接触这种东西很难会利用帮助文档吧，这份教程也可以用来学习使用帮助文档,2021-02-07 00:00:00
31,《UE4教程》,b站堪嘉诚,UE4,B站,东方月圆,动漫,UE4教程 干货颇多,2021-01-18 00:00:00
32,《UI/UX设计相关教程》,水球泡,UI/UX设计,B站,灰白色琴键,国际经济与贸易,关于UI设计涉及的各方面知识老师都有讲到，很详细||动效、用户交互,2021-01-19 00:00:00
33,《UI设计基础》,B站零基础学UI设计,UI设计,[B站](https://www.bilibili.com/video/BV11J411T7Fn),百分百灰度,艺术设计,简单好学，内容充实，种类全,2021-04-01 00:00:00
34,《尚硅谷React技术全家桶》,天禹,Web开发/React,[B站](https://www.bilibili.com/video/BV1wy4y1D7JT),SAR_郝开欣,计算机,课讲的又细又好，跟着可以直接做项目，需要一点web开发基础,2021-12-20 10:09:30
35,《c语言基础入门》,C3程序员,c语言,[B站](https://www.bilibili.com/video/BV18W411R7zk),九尺镇,软件工程,http://www.52c3.com/qq.html 他的博客。与其他编程讲师相比，他的视频系统性很强，有很完整的一条学习链。他人也很沙雕。,2021-02-08 00:00:00
36,《带你学c带你飞》,b站鱼C-小甲鱼,c语言,[B站](https://www.bilibili.com/video/BV17s411N78s), ,信息管理与信息系统,课堂比较活泼有趣，然后课上也会敲代码演示,2021-02-08 00:00:00
37,《带你学c带你飞》,鱼c-小甲鱼,c语言,B站,Eva,土木工程,思路清楚易懂,2021-01-18 00:00:00
38,《JAVA web 网站》,颜群,java web,B站,为了闭关修炼换个名字,软件技术,我的web启蒙老师,2021-01-15 00:00:00
39,《【零基础 快速学Java】韩顺平 零基础30天学会Java》,韩顺平,java语言,[B站](https://www.bilibili.com/video/BV1Yt411M7aD),璇屿,软件工程,是中公考研提供的面向考研的课程，详细讲解且扩充了郭庆光老师的《传播学教程》第二版。从基本概念，到重要理论，到网络时代的思考，条理清晰，举例生动。（就是老师可能感冒了，一直吸鼻子哈哈哈哈）, 
40,《logo设计》,b站up主斗墨品牌,logo设计,B站,东方月圆,logo设计,感觉up主的设计 感觉眼目一新 有种天赋感,2021-01-18 00:00:00
41,《pr教程》,b站up源源捣,pr教程,B站,东方月圆,pr教程,教程,2021-01-18 00:00:00
42,《PS教程》,b站李涛PS,ps教程,B站,东方月圆,动漫,李涛老师 永远的神 photoshop中国第一人,2021-01-18 00:00:00
43,《0基础学Python》,千锋教育,python,[B站](https://space.bilibili.com/146668655),消磨时间呢,计算机网络,这位老师是我找了这么多python视频里讲得最好的一个！,2021-02-08 00:00:00
44,《OpenCV快速入门》,覃秉丰,python,B站,Ben,OpenCV快速入门,对于入门来说讲得足够清楚,2021-02-17 00:00:00
45,《python全套视频教程（700集）》,千峰教育python学院,python,[B站](https://www.bilibili.com/video/BV1R7411F7JV),晨曦,计算机,老师教学非常详细，很多东西是在大学课堂学不到的，值得一看,2021-02-08 00:00:00
46,《零基础入门学习Python》,鱼c-小甲鱼,python,B站,Eva,土木工程,同上,2021-01-18 00:00:00
47,《Eva 零基础入门学习Python 鱼c-小甲鱼 python b站官方账号 先搜up主再搜Python》,鱼c-小甲鱼,python b站官方账号,[无](https://space.bilibili.com/1162704059),romanceACE,EVA,,2021-12-21 22:51:40
48,《python爬虫实战》,python小强,python爬虫实战,[B站](https://space.bilibili.com/1162704059),负电,经济学,不讲废话的老师，讲的很好也很容易理解，,2021-02-09 00:00:00
49,《大学生服务外包概论》,尚硅谷一众老师,web前端,[B站](https://www.bilibili.com/video/BV1YW411T7GX),zsh,web前端,以超哥的js核心为例，下面有从入门到入土的所有教程，超良心,2021-02-09 00:00:00
50,《从零开始的Windows10使用教程》,Frank,win10系统入门,[B站](https://www.bilibili.com/video/BV1b7411L785),魂帝HD,汽车服务工程,前微软大佬，讲解通俗易懂，讲师本人也参与了win10的相关开发，能全面讲解win10系统的同时，还能保证通俗易懂，对小白十分友好,2021-01-26 00:00:00
51,《Scala》,武晟然,《计算机》,B站,丨等你下课丨,计算机,,2021-12-17 20:08:12
52,《【全年级英语】初中、高中、四级、六级、考研、专四、专八、GR，托福》,老师杂乱【自行学习】,【全年级英语】初中、高中、四级、六级、考研、专四、专八、GR，托福,[无](https://www.bilibili.com/video/BV1U7411t7sG),舒心__,【全年级英语】初中、高中、四级、六级、考研、专四、专八、GR，托福,很高兴终于把所有等级的英语单词视频做完了。从发的第一个英语四六级单词到现在，刚好八个月了。一开始纯粹也就是做着好玩，考研相关也是自己用，不过后面和越来越多人聊天发现，大家对各类单词视频都有着需要，尝试做了下其它的。最初自己也是小白，对各类软件都不熟悉，期间学习和用了PR、PE、PS、arctime、小丸工具箱、lrc歌词编辑器、WPS、爱剪辑、狸窝视频助手、aegisub、格式工厂、甚至网易云音乐和QQ音乐，最终才把这些视频做出来了。最后希望视频能给大家帮助。,2021-02-10 00:00:00
53,《信息技术，高数，英语，毛概》,不知道,专升本,B站,卧龙,机电,,2021-12-21 22:10:24
54,《中医基础理论》,潘毅,中医,B站,leogend,针灸推拿学,中医人必看,2021-12-18 18:32:11
55,郝万山讲《伤寒论》,郝万山,中医临床,B站,五运六气强,郝万山讲《伤寒论》,名老中医，绝对可信，曾上过央视《百家讲坛》讲中医,2021-03-09 00:00:00
56,《中医各家学说》,李董男,中医各家学说,[B站](https://www.bilibili.com/video/BV1fC4y1s7cd),远志学,中医学,有趣的老师，但视频比较散，需要集合,2021-01-19 00:00:00
57,《中医基础理论》,潘毅,中医学,[其他](http://www.dxzy163.com/view/index11062.html),MF,中医学,中医入门，通俗易懂，加深对传统文化的了解,2021-01-17 00:00:00
58,《中医学基本思维原理》,邓中甲,中医学,[其他](http://v.knowwing.com/special/details/2.html),黄芽,中医学,,2021-02-08 00:00:00
59,《内科学》,,中医学,爱课程,自渡iu,中医学,适合北方同学们观看，口音亲切讲的也很详细,2021-02-07 00:00:00
60,《方剂学》,邓中甲,中医学,[其他](http://v.knowwing.com/special/details/2.html),黄芽,中医学,,2021-02-08 00:00:00
61,《解刨学基础》,李云庆,中医学,爱课程,自渡iu,中医学,,2021-02-07 00:00:00
62,《孟子》精读（全69讲）,孟琢,中国古代文学,[超星](http://erya.mooc.chaoxing.com/search?val=孟琢),sun湘君,中国语言文学,幽默风趣，重点突出，了解四书的好路径。,2021-01-19 00:00:00
63,《满语》,王硕（完颜苏勒景圣）,中国少数民族语言文学,[B站](https://www.bilibili.com/video/BV1fE411i7my), ,中国少数民族语言文学、中国古典文献学、明清史、文献语言学,课程清晰易懂，是明清史、中国古典文献学、中国少数民族语言文学专业，《满语》类课程的入门精品,2021-02-07 00:00:00
64,《中国现当代文学》,丁帆,中国现当代文学,[爱课程](http://www.icourses.cn/sCourse/course_3763.html),张紫溟,汉语言文学,视角新颖，对于很多问题给出了新的解释，本课为其两名博士生所讲授，合著有《中国新文学史》,2021-02-06 00:00:00
65,《人际沟通与文化修养》,李东,中文,B站,cool_small_hour,人际沟通与文化修养,李东老师讲课幽默诙谐，引人入胜。能学到许多传播学的知识，提高与人交流的质量。,2021-02-17 00:00:00
66,《中药学》,广州中医药大学赖小平（其他老师均可）,中药学,[B站](https://www.bilibili.com/video/BV1fu41127MN),qq：2039238611,中药学,希望相关的有识之士能帮助鄙人学习中医药文化知识，为各位谋福利，鄙人在此感激不尽, 
67,《中药学》,于虹,中药学,[B站](https://space.bilibili.com/79444670),顺风顺水,中药学,, 
68,《医学综合》,魏,临床医学,无,空白,医学综合,丰富知识,2021-11-29 00:00:00
69,《生理学》,医学老师刘忠保,临床医学,B站,MOMO,医学,,2021-12-18 20:17:53
70,《生理学》,刘忠保,临床医学,B站,勘测地球,临床医学,,2021-12-17 23:42:25
71,《病理生理学》,吴立玲,临床医学,[爱课程](https://www.icourses.cn/sCourse/course_3621.html#),乔伊伊伊,临床医学,老师讲的很生动，适合初学观看；刚开始看，感觉不错所以先贴上来了，找网课的时候看到也有人说这是讲的比较细的,2022-04-02 16:41:48
72,《系统解剖学》,霍琨,临床医学,[辽宁资源共享](http://sharecourse.upln.cn/pdt/sharecourse/index.html),-老局-,临床医学,手绘板书，语速适中，讲解透彻。适合于自学。,2021-01-16 00:00:00
73,《系统解剖学》,霍琨,临床医学,[辽宁资源共享](http://sharecourse.upln.cn/pdt/sharecourse/index.html),i天上人,临床医学,老师画图很好，非常简洁明了，讲课重点突出。,2021-02-08 00:00:00
74,《有趣的病理学（学校很受欢迎的选修课）》,B站-程Sir只是个老师,临床病理学,[B站](https://www.bilibili.com/video/BV11N411d7z1),期末头秃人,临床医学,病理学并不是枯燥的，也是很有趣。,2021-02-08 00:00:00
75,《数值分析/计算方法》,未知,主要应用于数学专业，自动化/电气/机械/航天等工科专业也同样适配,B站,metaphysica,自动化,对比了B站许多数值分析教程，虽然这个课程比较老，但绝对是讲得最优秀的！,2021-12-19 00:16:50
76,《书法审美与实践》,方建勋,书法,B站,坐忘心斋澄明镜,书法,了解书法基础,2021-01-17 00:00:00
77,《书法》,方建勋,书法/美学,[B站](https://space.bilibili.com/514262901),柒略,设计学,上北大学书法，《北大书法公开课》《2021年·春/北大书法公开课：书法审美与实践》《2021年·秋/北大书法公开课：书法审美与实践2》共3辑。,2021-12-22 10:39:35
78,《中国书法》,沈浩、沈乐平,书法学,[中国大学MOOC](https://www.icourse163.org/course/CAA-1463205167?utm_source=weixin&utm_medium=iphoneShare&utm_campaign=share),一介,书法学,书法是中国特有的一门传统艺术，是其传统文化的代表，凝结着中国独特的审美意识和生生不息的文化精神。林语堂先生在《吾土吾民》中写道：“书法提供了中国人以基本的美学原理”。所以，学习书法是了解中国文化和审美最为便捷的途径。,2021-04-19 00:00:00
79,《中国书法创作实践》,丘新巧,书法学,[中国大学MOOC](http://www.icourse163.org/course/SHNU-1205806840),砢_503,书法学,较好实践类大学书法创作课。,2021-02-10 00:00:00
80,《草书字法教程》,刘东芹,书法学,[中国大学MOOC](https://www.icourse163.org/course/HYTC-1449787173),砢_mitsuishi,书法学,草书字法学习入门必修。预备知识：有一定的书法基础，最好临摹过孙过庭《书谱》、王羲之《十七帖》等草书，学习过《说文解字》。,2021-02-09 00:00:00
81,《行草篆隶》,陈建忠书法学堂,书法学,B站,不想学习书法的书法生,书法学,书法普及大师，业余的可以跟着学,2021-02-08 00:00:00
82,《建筑》,无,二建,B站,不会游泳的救生员,土建人员,,2021-12-19 00:40:09
83,《design-principles》,Scott Klemmer,交互设计,[COURSERA](https://www.coursera.org/learn/design-principles?specialization=interaction-design),墙角的青苔,交互设计与运营,设计原则、设计规范等等,2021-02-08 00:00:00
84,《designexperiments》,Scott Klemmer,交互设计,[COURSERA](https://www.coursera.org/learn/designexperiments),墙角的青苔,交互设计与运营,难度过高，建议跳过。会R语言或数学好的可以试着去挑战,2021-02-08 00:00:00
85,《human-computer-interactionan：Introduction》,Scott Klemmer,交互设计,[COURSERA](https://www.coursera.org/learn/human-computer-interaction?specialization=interaction-design),墙角的青苔,交互设计与运营,加利福尼亚大学交互设计的课程，总共八个覆盖的十分全面。整体比较理论学院派的风格，不像之前几个介绍的实操性那么强，更多是强调思维方面的内容，想进入这行的话建议可以看看，b站没上传但coursera有中文字幕，注册点旁听即可。如果想深入研究的话，可以尝试去了解认知科学方面的内容,2021-02-08 00:00:00
86,《infodesign》,Scott Klemmer,交互设计,[COURSERA](https://www.coursera.org/learn/infodesign#about),墙角的青苔,交互设计与运营,原型、布局之类的,2021-02-08 00:00:00
87,《interaction-design-capstone》,Scott Klemmer,交互设计,[COURSERA](https://www.coursera.org/learn/interaction-design-capstone),墙角的青苔,交互设计与运营,从头到尾给你梳理一遍整个流程,2021-02-08 00:00:00
88,《interaction-techniques》,Scott Klemmer,交互设计,[COURSERA](https://www.coursera.org/learn/interaction-techniques?specialization=interaction-design),墙角的青苔,交互设计与运营,这章挺重要的，会有交互设计专业独有的理论知识,2021-02-08 00:00:00
89,《social-computing》,Scott Klemmer,交互设计,[COURSERA](https://www.coursera.org/learn/social-computing?specialization=interaction-design),墙角的青苔,交互设计与运营,这章相对没那么重要，主要是一些机遇挑战之类的,2021-02-08 00:00:00
90,《user-research》,Elizabeth Gerber,交互设计,[COURSERA](https://www.coursera.org/learn/user-research),墙角的青苔,交互设计与运营,讲用户调研的，对之后工作还挺有帮助的,2021-02-08 00:00:00
91,《系统解剖学》,霍琨,人体解剖,[辽宁资源共享](http://sharecourse.upln.cn/pdt/sharecourse/index.html),临床医学僧,临床医学,全程手绘，跟着这位老师一起画一遍下来，知识很快就能记住了,2021-01-15 00:00:00
92,《人体解剖学》,霍琨,人体解剖学,[辽宁资源共享](http://sharecourse.upln.cn/pdt/sharecourse/index.html),酸菜鱼爱看咸蛋黄,医学检验技术,霍琨yyds 考试月全靠他 个人觉得人解系解都可以去看（局解不太清楚）手画图讲解同步有助于理解 尤其是细节 另 这个网站的课都还不错,2021-02-07 00:00:00
93,《斯坦福大学公开课：机器学习课程》,Andrew Ng,人工智能,无,桃良,电子科学与技术,感谢这门课程的公开，让我们有机会在机器学习领域可以和全世界站在同一数量级的起跑线上,2021-12-18 11:43:29
94,《PyTorch深度学习实践》,刘洪普,人工智能/计算机/自动化,B站,metaphysica,自动化,目前在B站看过的最适合新手入门的pytorch教程。,2021-12-19 00:29:46
95,《叙述学》,赵毅衡,人文,[无](https://www.bilibili.com/video/BV18x411E7N3),阿龙君,软件工程,我是一个理工男，看完赵老师的叙述学，感觉对小说、历史、个人回忆有了更高一层的认识。推荐看完符号学再来看,2022-05-04 00:40:13
96,《符号学》,赵毅衡,人文,[无](https://www.bilibili.com/video/BV1kx41187n4),阿龙君,软件工程,这门课讲得很清楚，我看的时候让我对整个文学的有了深层次的认识。按照我目前所知，赵老师是中国符号学的泰斗,2022-05-04 00:37:13
97,《史记（一）》,吕世浩,人文学,[COURSERA](https://www.coursera.org/learn/shiji),苏祈,汉语言文学,吕世浩老师讲的史记，是我目前听到过的最好的文史课。,2021-02-09 00:00:00
98,《人为何活着》,许倬云,人文思想学,B站,白煠蝶,影视动画,,2021-01-22 00:00:00
99,《仪器分析》（或者《分析化学（下）》）,楼上工具人（真名：傅云涛）,仪器分析（或者分析化学（下））,[B站](https://www.bilibili.com/video/BV1PZ4y1L7jX),bilibili——楼上工具人（也是作者）,药学（基础药学理科基地）,up主本人作为本科在读生，对于中国药科大学的仪器分析知识点进行了研究之后，完成的期中复习视频。, 
100,《会计学原理》,罗炜,会计学,[B站](https://www.bilibili.com/video/BV15x411f7eL),禾口,会计学,泛听,2021-12-19 20:59:57
101,《传播学：批判性导论》,吴畅畅,传播学,[中国大学MOOC](https://www.icourse163.org/course/ECNU-1002840005),小君的人化世界,广告学,主要从批判学派角度讲传播学（和刘海龙老师相比，这位老师会从现实入手，更通俗一些；两位老师的重点基本都不在经验学派，入门的同学推荐看李彬老师的书《传播学引论》，和郭庆光老师的《传播学教程》相比，李彬老师的书更像讲座，没那么晦涩）,2021-01-17 00:00:00
102,《传播理论》,刘海龙,传播学,[中国大学MOOC](https://www.icourse163.org/course/RUC-1449339163?tid=1454569455),小君的人化世界,广告学,建议配合老师写的书《大众传播学理论：范式与流派》食用（这本书也是考研、保研的同学必看的进阶书，入门书见上一条），框架清晰，基本梳理了传播学各大学派的发展过程，介绍了主要的传播理论，但课程更学术化，比较适合作为进阶课程食用,2021-01-17 00:00:00
103,《传播理论》,刘海龙,传播学,中国大学MOOC,小斯,会计跨考新传,,2021-06-12 00:00:00
104,《新媒体文化十二讲》,刘涛,传播学,中国大学MOOC,小斯,会计跨考新传,,2021-06-12 00:00:00
105,《肌肉骨骼康复》,钱菁华、刘冬森、卢玮等,体育/运动/运动康复/健身,[学堂在线](https://www.xuetangx.com/course/bsu04021002556/7769980),雾之预言家,地理信息科学,久坐人士的福音，健身人士的宝藏~本课程有助于各位了解肌肉酸痛、关节疼痛的缓解方法，从此远离运动损伤~, 
106,《俄语》,up主 蒹葭苍苍9131,俄语,B站,中二少女每天都很丧,心理,真的受益匪浅！！易懂, 
107,《零起点俄语入门》,张金兰,俄语,学习强国,李平平和赵安安,俄语,适合入门学习，老师很友好，内容相对简单,2021-02-07 00:00:00
108,《零起点俄语入门》,张金莱教授,俄语,[B站](https://www.bilibili.com/video/BV1Dt41137QM),林下微雨,俄语,,2021-12-22 14:33:06
109,《信号与系统/数字信号处理》,讲信号与系统的潘老师,信号与系统/数字信号处理,[B站](https://www.bilibili.com/video/BV127411M7BU),罗小格,电子信息工程,要点清晰简明，注重实践，以实际做题为核心，适合有一定基础的同学考前复习,2021-02-08 00:00:00
110,《信息与系统(Signal & Systems)》,Alan V. Oppenheim,信息系统,[网易公开课](https://open.163.com/newview/movie/free?pid=M8AROL7GG&mid=M8AROOU9F),弦鱼,电子工程,信号分析入门,2021-01-16 00:00:00
111,《信息论(Principles of Digital Communications I)》,Robert Gallager,信息系统,[其他](https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-450-principles-of-digital-communications-i-fall-2006/index.htm),弦鱼,电子工程,生肉预警(可能需要翻墙),2021-01-16 00:00:00
112,《光学》,物理系的允文君,光学,[B站](https://www.bilibili.com/video/BV1mx41137dQ),十五的月亮十六袁,大学物理,分享的网址只有绪论，其他优质课程在他个人主页里找,2021-02-08 00:00:00
113,《数字电子技术》,覃爱娜，李飞等等,光电信息科学与工程,中国大学MOOC,Tom,工科，光电信息科学,好,2021-12-18 09:48:24
114,《电动力学》,杨湘波,光电信息科学与工程,[中国大学MOOC](https://www.icourse163.org/learn/scnu-1003540137?tid=1465372447#/learn/announce),Tom,光电信息科学与工程,更好,2021-12-21 15:14:23
115,《写实油画技巧》,,写实油画,[B站](https://www.bilibili.com/video/BV1iQ4y1P7uu),kkkllkkkk,艺术学,解读大卫 莱弗尔厚实亮部的笔触技巧,2021-02-09 00:00:00
116,《军事理论》,艾跃进,军事理论,其他,晓,机工,对我们的思想有很大的启发,2021-01-15 00:00:00
117,《俄罗斯与核军控》,"Andrey Pavlov, Anastasia Malygina",军控,[COURSERA](https://coursera.org/learn/russia-and-nuclear-arms-control),月神~小白兔,国际关系,很好的核军控入门课，授课语言是英文，尚未看见中文字幕。,2021-01-23 00:00:00
118,《农学》,杨正亮,农学,无,吴庸,农学,, 
119,《植物生理学》,李合生,农学,B站,丝血反杀闰土的猹La,农学,, 
120,《植物生理学》,周自云,农学,B站,起床需要几首歌的时间,农学,,2021-12-18 15:06:20
121,《分子生物学》,郑老师,分子生物,[中国大学MOOC](http://www.icourse163.org/course/NJU-1207105805?tid=1207475213),-XXAY-,生信,老师讲的比较生动形象,2021-01-16 00:00:00
122,《Molecular Biology - Part 1: DNA Replication and Repair（分子生物学第一部分：DNA复制与修复）》,Steve Bell,分子生物学,[无](https://www.edx.org/course/molecular-biology-part-1-dna-replication-and-repair?index=product&queryID=5953e70fd05420e77888b8daae436755&position=3),古月秋宸,Molecular Biology - Part 1: DNA Replication and Repair（分子生物学第一部分：DNA复制与修复）,生动形象，同时还能学英语,2021-03-26 00:00:00
123,《仪器分析》,杨屹 、杜振霞等,分析化学,[爱课程](http://www.icourses.cn/sCourse/course_6064.html),化学点心,化学,老师能联系实际，联系实际，知识点很详细，重点突出，可用于考研,2021-02-09 00:00:00
124,《制冷与低温技术原理》,鱼剑琳等,制冷与低温工程,[中国大学MOOC](https://www.icourse163.org/course/XJTU-1206502809?tid=1457129445),M.urderer,新能源科学与工程（制冷空调）,虽然感觉没我们老师讲的好嗯，但是是搜到的比较好的了感觉,2021-02-08 00:00:00
125,《制冷与低温技术原理》,吴业正等,制冷与低温工程,[爱课程](http://www.icourses.cn/sCourse/course_7098.html),M.urderer,新能源科学与工程（制冷空调）,"比上面那个好一点但是老一点,而且他的制冷原理与设备的教材写的很好",2021-02-08 00:00:00
126,《JavaScript基础语法》,pink老师,前端JavaScript入门,B站,水三书,软件工程,讲的很细容易掌握，基础入门够了,2021-12-18 00:08:24
127,《剪辑教程》,b站up南门录像厅,剪辑,B站,东方月圆,剪辑,干货满满,2021-01-18 00:00:00
128,代表作《入海》《啥是佩奇》等,b站up主迷一样的剪辑师,剪辑师,B站,东方月圆,剪辑,干货颇多,2021-01-18 00:00:00
129,《力学》,物理系的允文君,力学,[B站](https://www.bilibili.com/video/BV17s41187Hj),十五的月亮十六袁,大学物理,对物理专业的我来说，这就是救命的。,2021-02-08 00:00:00
130,《理论力学》,未知,力学,其他,ChanPython,机械类,老师讲得非常好，期末靠他没问题,2021-02-08 00:00:00
131,《工程热力学》,何雅玲、何茂刚,动力工程及工程热物理/建筑环境与能源应用工程,B站,年七am,动力工程及工程热物理/建筑环境与能源应用工程,《工程热力学》播放量最高的名师课程，考研人必备，工程热力学只看这一个就够了。（是半数以上能源相关专业参考书目）,2021-12-19 09:11:50
132,《动力气象》,,动力气象,[中国大学MOOC](https://www.icourse163.org/course/NJU-1003608005),羊驼Abigial,大气科学,该课程较清晰细致的讲解了动力气象的许多重要概念及理论，虽然依旧是比较难理解的内容，但老师们的讲解十分专业，为理解提供了许多帮助,2021-02-07 00:00:00
133,《TBH基础功能讲解》,叫我卡通先生,动画,[B站](https://www.bilibili.com/video/BV1U7411q7Fr),白煠蝶,影视动画,老师讲解地还可以，边看边学边摸索，我现在就靠着TBH做毕设，测试的工程文件的效果确实不错,2021-01-16 00:00:00
